Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0,1124	1,420744	4,01706E-05	4,01706E-05	4,01706E-05	3,24204E-05	0	0	0	5,42715E-06
0,1128	1,389282	3,9281E-05	3,9281E-05	3,9281E-05	3,40519E-05	0	0	0	2,78915E-06
0,1132	1,352337	3,82364E-05	3,82364E-05	3,82364E-05	3,5549E-05	0	0	0	1,40156E-07
0,1136	1,310055	3,70409E-05	3,70409E-05	3,70409E-05	3,69059E-05	0	0	0	0
0,114	1,262603	3,56993E-05	3,56993E-05	3,56993E-05	3,81171E-05	2,5094E-06	0	0	0
0,1144	1,210167	3,42167E-05	3,42167E-05	3,42167E-05	3,91778E-05	5,14904E-06	0	0	0
0,1148	1,152956	3,25991E-05	3,25991E-05	3,25991E-05	4,0084E-05	7,76837E-06	0	0	0
0,1152	1,091195	3,08528E-05	3,08528E-05	3,08528E-05	4,08319E-05	1,03571E-05	0	0	0
0,1156	1,025127	2,89848E-05	2,89848E-05	2,89848E-05	4,14187E-05	1,29049E-05	0	0	0
0,116	0,955014	2,70024E-05	2,70024E-05	2,70024E-05	4,18421E-05	1,54017E-05	0	0	0
0,1164	0,881131	2,49134E-05	2,49134E-05	2,49134E-05	4,21003E-05	1,78378E-05	0	0	0
0,1168	0,803772	2,27261E-05	2,27261E-05	2,27261E-05	4,21923E-05	2,02035E-05	0	0	0
0,1172	0,72324	2,04491E-05	2,04491E-05	2,04491E-05	4,21178E-05	2,24894E-05	0	0	0
0,1176	0,639853	1,80914E-05	1,80914E-05	1,80914E-05	4,18772E-05	2,46866E-05	0	0	0
0,118	0,553942	1,56623E-05	1,56623E-05	1,56623E-05	4,14712E-05	2,67864E-05	0	0	0
0,1184	0,465844	1,31714E-05	1,31714E-05	1,31714E-05	4,09016E-05	2,87804E-05	0	0	0
0,1188	0,375908	1,06285E-05	1,06285E-05	1,06285E-05	4,01706E-05	3,06609E-05	0	0	0
0,1192	0,284489	8,04374E-06	8,04374E-06	8,04374E-06	3,9281E-05	3,24204E-05	0	0	0
0,1196	0,191946	5,42715E-06	5,42715E-06	5,42715E-06	3,82364E-05	3,40519E-05	0	0	0
0,12	0,098646	2,78915E-06	2,78915E-06	2,78915E-06	3,70409E-05	3,5549E-05	0	0	0
0,1204	0,004957	1,40156E-07	1,40156E-07	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06	0	0
0,1208	-0,088752	-2,5094E-06	0	0	3,42167E-05	3,81171E-05	5,14904E-06	0	0
0,1212	-0,18211	-5,14904E-06	0	0	3,25991E-05	3,91778E-05	7,76837E-06	0	0
0,1216	-0,27475	-7,76837E-06	0	0	3,08528E-05	4,0084E-05	1,03571E-05	0	0
0,122	-0,366306	-1,03571E-05	0	0	2,89848E-05	4,08319E-05	1,29049E-05	0	0
0,1224	-0,456416	-1,29049E-05	0	0	2,70024E-05	4,14187E-05	1,54017E-05	0	0
0,1228	-0,544724	-1,54017E-05	0	0	2,49134E-05	4,18421E-05	1,78378E-05	0	0
0,1232	-0,630883	-1,78378E-05	0	0	2,27261E-05	4,21003E-05	2,02035E-05	0	0
0,1236	-0,714552	-2,02035E-05	0	0	2,04491E-05	4,21923E-05	2,24894E-05	0	0
0,124	-0,795401	-2,24894E-05	0	0	1,80914E-05	4,21178E-05	2,46866E-05	0	0
0,1244	-0,873111	-2,46866E-05	0	0	1,56623E-05	4,18772E-05	2,67864E-05	0	0
0,1248	-0,947375	-2,67864E-05	0	0	1,31714E-05	4,14712E-05	2,87804E-05	0	0
0,1252	-1,0179	-2,87804E-05	0	0	1,06285E-05	4,09016E-05	3,06609E-05	0	0
0,1256	-1,084409	-3,06609E-05	0	0	8,04374E-06	4,01706E-05	3,24204E-05	0	0
0,126	-1,146637	-3,24204E-05	0	0	5,42715E-06	3,9281E-05	3,40519E-05	0	0
0,1264	-1,20434	-3,40519E-05	0	0	2,78915E-06	3,82364E-05	3,5549E-05	0	0
0,1268	-1,25729	-3,5549E-05	0	0	1,40156E-07	3,70409E-05	3,69059E-05	0	0
0,1272	-1,305279	-3,69059E-05	0	0	0	3,56993E-05	3,81171E-05	2,5094E-06	0
0,1276	-1,348116	-3,81171E-05	0	0	0	3,42167E-05	3,91778E-05	5,14904E-06	0
0,128	-1,385632	-3,91778E-05	0	0	0	3,25991E-05	4,0084E-05	7,76837E-06	0
0,1284	-1,41768	-4,0084E-05	0	0	0	3,08528E-05	4,08319E-05	1,03571E-05	0
0,1288	-1,444133	-4,08319E-05	0	0	0	2,89848E-05	4,14187E-05	1,29049E-05	0
0,1292	-1,464887	-4,14187E-05	0	0	0	2,70024E-05	4,18421E-05	1,54017E-05	0
0,1296	-1,47986	-4,18421E-05	0	0	0	2,49134E-05	4,21003E-05	1,78378E-05	0
0,13	-1,488992	-4,21003E-05	0	0	0	2,27261E-05	4,21923E-05	2,02035E-05	0
0,1304	-1,492248	-4,21923E-05	0	0	0	2,04491E-05	4,21178E-05	2,24894E-05	0
0,1308	-1,489614	-4,21178E-05	0	0	0	1,80914E-05	4,18772E-05	2,46866E-05	0
0,1312	-1,481102	-4,18772E-05	0	0	0	1,56623E-05	4,14712E-05	2,67864E-05	0
0,1316	-1,466745	-4,14712E-05	0	0	0	1,31714E-05	4,09016E-05	2,87804E-05	0
0,132	-1,446599	-4,09016E-05	0	0	0	1,06285E-05	4,01706E-05	3,06609E-05	0
0,1324	-1,420744	-4,01706E-05	0	0	0	8,04374E-06	3,9281E-05	3,24204E-05	0
0,1328	-1,389282	-3,9281E-05	0	0	0	5,42715E-06	3,82364E-05	3,40519E-05	0
0,1332	-1,352337	-3,82364E-05	0	0	0	2,78915E-06	3,70409E-05	3,5549E-05	0
0,1336	-1,310055	-3,70409E-05	0	0	0	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06
0,134	-1,262603	-3,56993E-05	0	0	0	0	3,42167E-05	3,81171E-05	5,14904E-06
0,1344	-1,210167	-3,42167E-05	0	0	0	0	3,25991E-05	3,91778E-05	7,76837E-06
0,1348	-1,152956	-3,25991E-05	0	0	0	0	3,08528E-05	4,0084E-05	1,03571E-05
0,1352	-1,091195	-3,08528E-05	0	0	0	0	2,89848E-05	4,08319E-05	1,29049E-05
0,1356	-1,025127	-2,89848E-05	0	0	0	0	2,70024E-05	4,14187E-05	1,54017E-05
0,136	-0,955014	-2,70024E-05	0	0	0	0	2,49134E-05	4,18421E-05	1,78378E-05
0,1364	-0,881131	-2,49134E-05	0	0	0	0	2,27261E-05	4,21003E-05	2,02035E-05
0,1368	-0,803772	-2,27261E-05	0	0	0	0	2,04491E-05	4,21923E-05	2,24894E-05
0,1372	-0,72324	-2,04491E-05	0	0	0	0	1,80914E-05	4,21178E-05	2,46866E-05
0,1376	-0,639853	-1,80914E-05	0	0	0	0	1,56623E-05	4,18772E-05	2,67864E-05
0,138	-0,553942	-1,56623E-05	0	0	0	0	1,31714E-05	4,14712E-05	2,87804E-05
0,1384	-0,465844	-1,31714E-05	0	0	0	0	1,06285E-05	4,09016E-05	3,06609E-05
0,1388	-0,375908	-1,06285E-05	0	0	0	0	8,04374E-06	4,01706E-05	3,24204E-05
0,1392	-0,284489	-8,04374E-06	0	0	0	0	5,42715E-06	3,9281E-05	3,40519E-05
0,1396	-0,191946	-5,42715E-06	0	0	0	0	2,78915E-06	3,82364E-05	3,5549E-05
0,14	-0,098646	-2,78915E-06	0	0	0	0	1,40156E-07	3,70409E-05	3,69059E-05
0,1404	-0,004957	-1,40156E-07	0	0	0	0	0	3,56993E-05	3,81171E-05
0,1408	0,088752	2,5094E-06	2,5094E-06	2,5094E-06	0	0	0	3,42167E-05	3,91778E-05
0,1412	0,18211	5,14904E-06	5,14904E-06	5,14904E-06	0	0	0	3,25991E-05	4,0084E-05
0,1416	0,27475	7,76837E-06	7,76837E-06	7,76837E-06	0	0	0	3,08528E-05	4,08319E-05
0,142	0,366306	1,03571E-05	1,03571E-05	1,03571E-05	0	0	0	2,89848E-05	4,14187E-05
0,1424	0,456416	1,29049E-05	1,29049E-05	1,29049E-05	0	0	0	2,70024E-05	4,18421E-05
0,1428	0,544724	1,54017E-05	1,54017E-05	1,54017E-05	0	0	0	2,49134E-05	4,21003E-05
0,1432	0,630883	1,78378E-05	1,78378E-05	1,78378E-05	0	0	0	2,27261E-05	4,21923E-05
0,1436	0,714552	2,02035E-05	2,02035E-05	2,02035E-05	0	0	0	2,04491E-05	4,21178E-05
0,144	0,795401	2,24894E-05	2,24894E-05	2,24894E-05	0	0	0	1,80914E-05	4,18772E-05
0,1444	0,873111	2,46866E-05	2,46866E-05	2,46866E-05	0	0	0	1,56623E-05	4,14712E-05
0,1448	0,947375	2,67864E-05	2,67864E-05	2,67864E-05	0	0	0	1,31714E-05	4,09016E-05
0,1452	1,0179	2,87804E-05	2,87804E-05	2,87804E-05	0	0	0	1,06285E-05	4,01706E-05
0,1456	1,084409	3,06609E-05	3,06609E-05	3,06609E-05	0	0	0	8,04374E-06	3,9281E-05
0,146	1,146637	3,24204E-05	3,24204E-05	3,24204E-05	0	0	0	5,42715E-06	3,82364E-05
0,1464	1,20434	3,40519E-05	3,40519E-05	3,40519E-05	0	0	0	2,78915E-06	3,70409E-05
0,1468	1,25729	3,5549E-05	3,5549E-05	3,5549E-05	0	0	0	1,40156E-07	3,56993E-05
0,1472	1,305279	3,69059E-05	3,69059E-05	3,69059E-05	2,5094E-06	0	0	0	3,42167E-05
0,1476	1,348116	3,81171E-05	3,81171E-05	3,81171E-05	5,14904E-06	0	0	0	3,25991E-05
0,148	1,385632	3,91778E-05	3,91778E-05	3,91778E-05	7,76837E-06	0	0	0	3,08528E-05
0,1484	1,41768	4,0084E-05	4,0084E-05	4,0084E-05	1,03571E-05	0	0	0	2,89848E-05
0,1488	1,444133	4,08319E-05	4,08319E-05	4,08319E-05	1,29049E-05	0	0	0	2,70024E-05
0,1492	1,464887	4,14187E-05	4,14187E-05	4,14187E-05	1,54017E-05	0	0	0	2,49134E-05
0,1496	1,47986	4,18421E-05	4,18421E-05	4,18421E-05	1,78378E-05	0	0	0	2,27261E-05
0,15	1,488992	4,21003E-05	4,21003E-05	4,21003E-05	2,02035E-05	0	0	0	2,04491E-05
0,1504	1,492248	4,21923E-05	4,21923E-05	4,21923E-05	2,24894E-05	0	0	0	1,80914E-05
0,1508	1,489614	4,21178E-05	4,21178E-05	4,21178E-05	2,46866E-05	0	0	0	1,56623E-05
0,1512	1,481102	4,18772E-05	4,18772E-05	4,18772E-05	2,67864E-05	0	0	0	1,31714E-05
0,1516	1,466745	4,14712E-05	4,14712E-05	4,14712E-05	2,87804E-05	0	0	0	1,06285E-05
0,152	1,446599	4,09016E-05	4,09016E-05	4,09016E-05	3,06609E-05	0	0	0	8,04374E-06
0,1524	1,420744	4,01706E-05	4,01706E-05	4,01706E-05	3,24204E-05	0	0	0	5,42715E-06
0,1528	1,389282	3,9281E-05	3,9281E-05	3,9281E-05	3,40519E-05	0	0	0	2,78915E-06
0,1532	1,352337	3,82364E-05	3,82364E-05	3,82364E-05	3,5549E-05	0	0	0	1,40156E-07
0,1536	1,310055	3,70409E-05	3,70409E-05	3,70409E-05	3,69059E-05	0	0	0	0
0,154	1,262603	3,56993E-05	3,56993E-05	3,56993E-05	3,81171E-05	2,5094E-06	0	0	0
0,1544	1,210167	3,42167E-05	3,42167E-05	3,42167E-05	3,91778E-05	5,14904E-06	0	0	0
0,1548	1,152956	3,25991E-05	3,25991E-05	3,25991E-05	4,0084E-05	7,76837E-06	0	0	0
0,1552	1,091195	3,08528E-05	3,08528E-05	3,08528E-05	4,08319E-05	1,03571E-05	0	0	0
0,1556	1,025127	2,89848E-05	2,89848E-05	2,89848E-05	4,14187E-05	1,29049E-05	0	0	0
0,156	0,955014	2,70024E-05	2,70024E-05	2,70024E-05	4,18421E-05	1,54017E-05	0	0	0
0,1564	0,881131	2,49134E-05	2,49134E-05	2,49134E-05	4,21003E-05	1,78378E-05	0	0	0
0,1568	0,803772	2,27261E-05	2,27261E-05	2,27261E-05	4,21923E-05	2,02035E-05	0	0	0
0,1572	0,72324	2,04491E-05	2,04491E-05	2,04491E-05	4,21178E-05	2,24894E-05	0	0	0
0,1576	0,639853	1,80914E-05	1,80914E-05	1,80914E-05	4,18772E-05	2,46866E-05	0	0	0
0,158	0,553942	1,56623E-05	1,56623E-05	1,56623E-05	4,14712E-05	2,67864E-05	0	0	0
0,1584	0,465844	1,31714E-05	1,31714E-05	1,31714E-05	4,09016E-05	2,87804E-05	0	0	0
0,1588	0,375908	1,06285E-05	1,06285E-05	1,06285E-05	4,01706E-05	3,06609E-05	0	0	0
0,1592	0,284489	8,04374E-06	8,04374E-06	8,04374E-06	3,9281E-05	3,24204E-05	0	0	0
0,1596	0,191946	5,42715E-06	5,42715E-06	5,42715E-06	3,82364E-05	3,40519E-05	0	0	0
0,16	0,098646	2,78915E-06	2,78915E-06	2,78915E-06	3,70409E-05	3,5549E-05	0	0	0
0,1604	0,004957	1,40156E-07	1,40156E-07	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06	0	0
0,1608	-0,088752	-2,5094E-06	0	0	3,42167E-05	3,81171E-05	5,14904E-06	0	0
0,1612	-0,18211	-5,14904E-06	0	0	3,25991E-05	3,91778E-05	7,76837E-06	0	0
0,1616	-0,27475	-7,76837E-06	0	0	3,08528E-05	4,0084E-05	1,03571E-05	0	0
0,162	-0,366306	-1,03571E-05	0	0	2,89848E-05	4,08319E-05	1,29049E-05	0	0
0,1624	-0,456416	-1,29049E-05	0	0	2,70024E-05	4,14187E-05	1,54017E-05	0	0
0,1628	-0,544724	-1,54017E-05	0	0	2,49134E-05	4,18421E-05	1,78378E-05	0	0
0,1632	-0,630883	-1,78378E-05	0	0	2,27261E-05	4,21003E-05	2,02035E-05	0	0
0,1636	-0,714552	-2,02035E-05	0	0	2,04491E-05	4,21923E-05	2,24894E-05	0	0
0,164	-0,795401	-2,24894E-05	0	0	1,80914E-05	4,21178E-05	2,46866E-05	0	0
0,1644	-0,873111	-2,46866E-05	0	0	1,56623E-05	4,18772E-05	2,67864E-05	0	0
0,1648	-0,947375	-2,67864E-05	0	0	1,31714E-05	4,14712E-05	2,87804E-05	0	0
0,1652	-1,0179	-2,87804E-05	0	0	1,06285E-05	4,09016E-05	3,06609E-05	0	0
0,1656	-1,084409	-3,06609E-05	0	0	8,04374E-06	4,01706E-05	3,24204E-05	0	0
0,166	-1,146637	-3,24204E-05	0	0	5,42715E-06	3,9281E-05	3,40519E-05	0	0
0,1664	-1,20434	-3,40519E-05	0	0	2,78915E-06	3,82364E-05	3,5549E-05	0	0
0,1668	-1,25729	-3,5549E-05	0	0	1,40156E-07	3,70409E-05	3,69059E-05	0	0
0,1672	-1,305279	-3,69059E-05	0	0	0	3,56993E-05	3,81171E-05	2,5094E-06	0
0,1676	-1,348116	-3,81171E-05	0	0	0	3,42167E-05	3,91778E-05	5,14904E-06	0
0,168	-1,385632	-3,91778E-05	0	0	0	3,25991E-05	4,0084E-05	7,76837E-06	0
0,1684	-1,41768	-4,0084E-05	0	0	0	3,08528E-05	4,08319E-05	1,03571E-05	0
0,1688	-1,444133	-4,08319E-05	0	0	0	2,89848E-05	4,14187E-05	1,29049E-05	0
0,1692	-1,464887	-4,14187E-05	0	0	0	2,70024E-05	4,18421E-05	1,54017E-05	0
0,1696	-1,47986	-4,18421E-05	0	0	0	2,49134E-05	4,21003E-05	1,78378E-05	0
0,17	-1,488992	-4,21003E-05	0	0	0	2,27261E-05	4,21923E-05	2,02035E-05	0
0,1704	-1,492248	-4,21923E-05	0	0	0	2,04491E-05	4,21178E-05	2,24894E-05	0
0,1708	-1,489614	-4,21178E-05	0	0	0	1,80914E-05	4,18772E-05	2,46866E-05	0
0,1712	-1,481102	-4,18772E-05	0	0	0	1,56623E-05	4,14712E-05	2,67864E-05	0
0,1716	-1,466745	-4,14712E-05	0	0	0	1,31714E-05	4,09016E-05	2,87804E-05	0
0,172	-1,446599	-4,09016E-05	0	0	0	1,06285E-05	4,01706E-05	3,06609E-05	0
0,1724	-1,420744	-4,01706E-05	0	0	0	8,04374E-06	3,9281E-05	3,24204E-05	0
0,1728	-1,389282	-3,9281E-05	0	0	0	5,42715E-06	3,82364E-05	3,40519E-05	0
0,1732	-1,352337	-3,82364E-05	0	0	0	2,78915E-06	3,70409E-05	3,5549E-05	0
0,1736	-1,310055	-3,70409E-05	0	0	0	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06
0,174	-1,262603	-3,56993E-05	0	0	0	0	3,42167E-05	3,81171E-05	5,14904E-06
0,1744	-1,210167	-3,42167E-05	0	0	0	0	3,25991E-05	3,91778E-05	7,76837E-06
0,1748	-1,152956	-3,25991E-05	0	0	0	0	3,08528E-05	4,0084E-05	1,03571E-05
0,1752	-1,091195	-3,08528E-05	0	0	0	0	2,89848E-05	4,08319E-05	1,29049E-05
0,1756	-1,025127	-2,89848E-05	0	0	0	0	2,70024E-05	4,14187E-05	1,54017E-05
0,176	-0,955014	-2,70024E-05	0	0	0	0	2,49134E-05	4,18421E-05	1,78378E-05
0,1764	-0,881131	-2,49134E-05	0	0	0	0	2,27261E-05	4,21003E-05	2,02035E-05
0,1768	-0,803772	-2,27261E-05	0	0	0	0	2,04491E-05	4,21923E-05	2,24894E-05
0,1772	-0,72324	-2,04491E-05	0	0	0	0	1,80914E-05	4,21178E-05	2,46866E-05
0,1776	-0,639853	-1,80914E-05	0	0	0	0	1,56623E-05	4,18772E-05	2,67864E-05
0,178	-0,553942	-1,56623E-05	0	0	0	0	1,31714E-05	4,14712E-05	2,87804E-05
0,1784	-0,465844	-1,31714E-05	0	0	0	0	1,06285E-05	4,09016E-05	3,06609E-05
0,1788	-0,375908	-1,06285E-05	0	0	0	0	8,04374E-06	4,01706E-05	3,24204E-05
0,1792	-0,284489	-8,04374E-06	0	0	0	0	5,42715E-06	3,9281E-05	3,40519E-05
0,1796	-0,191946	-5,42715E-06	0	0	0	0	2,78915E-06	3,82364E-05	3,5549E-05
0,18	-0,098646	-2,78915E-06	0	0	0	0	1,40156E-07	3,70409E-05	3,69059E-05
0,1804	-0,004957	-1,40156E-07	0	0	0	0	0	3,56993E-05	3,81171E-05
0,1808	0,088752	2,5094E-06	2,5094E-06	2,5094E-06	0	0	0	3,42167E-05	3,91778E-05
0,1812	0,18211	5,14904E-06	5,14904E-06	5,14904E-06	0	0	0	3,25991E-05	4,0084E-05
0,1816	0,27475	7,76837E-06	7,76837E-06	7,76837E-06	0	0	0	3,08528E-05	4,08319E-05
0,182	0,366306	1,03571E-05	1,03571E-05	1,03571E-05	0	0	0	2,89848E-05	4,14187E-05
0,1824	0,456416	1,29049E-05	1,29049E-05	1,29049E-05	0	0	0	2,70024E-05	4,18421E-05
0,1828	0,544724	1,54017E-05	1,54017E-05	1,54017E-05	0	0	0	2,49134E-05	4,21003E-05
0,1832	0,630883	1,78378E-05	1,78378E-05	1,78378E-05	0	0	0	2,27261E-05	4,21923E-05
0,1836	0,714552	2,02035E-05	2,02035E-05	2,02035E-05	0	0	0	2,04491E-05	4,21178E-05
0,184	0,795401	2,24894E-05	2,24894E-05	2,24894E-05	0	0	0	1,80914E-05	4,18772E-05
0,1844	0,873111	2,46866E-05	2,46866E-05	2,46866E-05	0	0	0	1,56623E-05	4,14712E-05
0,1848	0,947375	2,67864E-05	2,67864E-05	2,67864E-05	0	0	0	1,31714E-05	4,09016E-05
0,1852	1,0179	2,87804E-05	2,87804E-05	2,87804E-05	0	0	0	1,06285E-05	4,01706E-05
0,1856	1,084409	3,06609E-05	3,06609E-05	3,06609E-05	0	0	0	8,04374E-06	3,9281E-05
0,186	1,146637	3,24204E-05	3,24204E-05	3,24204E-05	0	0	0	5,42715E-06	3,82364E-05
0,1864	1,20434	3,40519E-05	3,40519E-05	3,40519E-05	0	0	0	2,78915E-06	3,70409E-05
0,1868	1,25729	3,5549E-05	3,5549E-05	3,5549E-05	0	0	0	1,40156E-07	3,56993E-05
0,1872	1,305279	3,69059E-05	3,69059E-05	3,69059E-05	2,5094E-06	0	0	0	3,42167E-05
0,1876	1,348116	3,81171E-05	3,81171E-05	3,81171E-05	5,14904E-06	0	0	0	3,25991E-05
0,188	1,385632	3,91778E-05	3,91778E-05	3,91778E-05	7,76837E-06	0	0	0	3,08528E-05
0,1884	1,41768	4,0084E-05	4,0084E-05	4,0084E-05	1,03571E-05	0	0	0	2,89848E-05
0,1888	1,444133	4,08319E-05	4,08319E-05	4,08319E-05	1,29049E-05	0	0	0	2,70024E-05
0,1892	1,464887	4,14187E-05	4,14187E-05	4,14187E-05	1,54017E-05	0	0	0	2,49134E-05
0,1896	1,47986	4,18421E-05	4,18421E-05	4,18421E-05	1,78378E-05	0	0	0	2,27261E-05
0,19	1,488992	4,21003E-05	4,21003E-05	4,21003E-05	2,02035E-05	0	0	0	2,04491E-05
0,1904	1,492248	4,21923E-05	4,21923E-05	4,21923E-05	2,24894E-05	0	0	0	1,80914E-05
0,1908	1,489614	4,21178E-05	4,21178E-05	4,21178E-05	2,46866E-05	0	0	0	1,56623E-05
0,1912	1,481102	4,18772E-05	4,18772E-05	4,18772E-05	2,67864E-05	0	0	0	1,31714E-05
0,1916	1,466745	4,14712E-05	4,14712E-05	4,14712E-05	2,87804E-05	0	0	0	1,06285E-05
0,192	1,446599	4,09016E-05	4,09016E-05	4,09016E-05	3,06609E-05	0	0	0	8,04374E-06
0,1924	1,420744	4,01706E-05	4,01706E-05	4,01706E-05	3,24204E-05	0	0	0	5,42715E-06
0,1928	1,389282	3,9281E-05	3,9281E-05	3,9281E-05	3,40519E-05	0	0	0	2,78915E-06
0,1932	1,352337	3,82364E-05	3,82364E-05	3,82364E-05	3,5549E-05	0	0	0	1,40156E-07
0,1936	1,310055	3,70409E-05	3,70409E-05	3,70409E-05	3,69059E-05	0	0	0	0
0,194	1,262603	3,56993E-05	3,56993E-05	3,56993E-05	3,81171E-05	2,5094E-06	0	0	0
0,1944	1,210167	3,42167E-05	3,42167E-05	3,42167E-05	3,91778E-05	5,14904E-06	0	0	0
0,1948	1,152956	3,25991E-05	3,25991E-05	3,25991E-05	4,0084E-05	7,76837E-06	0	0	0
0,1952	1,091195	3,08528E-05	3,08528E-05	3,08528E-05	4,08319E-05	1,03571E-05	0	0	0
0,1956	1,025127	2,89848E-05	2,89848E-05	2,89848E-05	4,14187E-05	1,29049E-05	0	0	0
0,196	0,955014	2,70024E-05	2,70024E-05	2,70024E-05	4,18421E-05	1,54017E-05	0	0	0
0,1964	0,881131	2,49134E-05	2,49134E-05	2,49134E-05	4,21003E-05	1,78378E-05	0	0	0
0,1968	0,803772	2,27261E-05	2,27261E-05	2,27261E-05	4,21923E-05	2,02035E-05	0	0	0
0,1972	0,72324	2,04491E-05	2,04491E-05	2,04491E-05	4,21178E-05	2,24894E-05	0	0	0
0,1976	0,639853	1,80914E-05	1,80914E-05	1,80914E-05	4,18772E-05	2,46866E-05	0	0	0
0,198	0,553942	1,56623E-05	1,56623E-05	1,56623E-05	4,14712E-05	2,67864E-05	0	0	0
0,1984	0,465844	1,31714E-05	1,31714E-05	1,31714E-05	4,09016E-05	2,87804E-05	0	0	0
0,1988	0,375908	1,06285E-05	1,06285E-05	1,06285E-05	4,01706E-05	3,06609E-05	0	0	0
0,1992	0,284489	8,04374E-06	8,04374E-06	8,04374E-06	3,9281E-05	3,24204E-05	0	0	0
0,1996	0,191946	5,42715E-06	5,42715E-06	5,42715E-06	3,82364E-05	3,40519E-05	0	0	0
0,2	0,098646	2,78915E-06	2,78915E-06	2,78915E-06	3,70409E-05	3,5549E-05	0	0	0
0,2004	0,004957	1,40156E-07	1,40156E-07	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06	0	0
0,2008	-0,088752	-2,5094E-06	0	0	3,42167E-05	3,81171E-05	5,14904E-06	0	0
0,2012	-0,18211	-5,14904E-06	0	0	3,25991E-05	3,91778E-05	7,76837E-06	0	0
0,2016	-0,27475	-7,76837E-06	0	0	3,08528E-05	4,0084E-05	1,03571E-05	0	0
0,202	-0,366306	-1,03571E-05	0	0	2,89848E-05	4,08319E-05	1,29049E-05	0	0
0,2024	-0,456416	-1,29049E-05	0	0	2,70024E-05	4,14187E-05	1,54017E-05	0	0
0,2028	-0,544724	-1,54017E-05	0	0	2,49134E-05	4,18421E-05	1,78378E-05	0	0
0,2032	-0,630883	-1,78378E-05	0	0	2,27261E-05	4,21003E-05	2,02035E-05	0	0
0,2036	-0,714552	-2,02035E-05	0	0	2,04491E-05	4,21923E-05	2,24894E-05	0	0
0,204	-0,795401	-2,24894E-05	0	0	1,80914E-05	4,21178E-05	2,46866E-05	0	0
0,2044	-0,873111	-2,46866E-05	0	0	1,56623E-05	4,18772E-05	2,67864E-05	0	0
0,2048	-0,947375	-2,67864E-05	0	0	1,31714E-05	4,14712E-05	2,87804E-05	0	0
0,2052	-1,0179	-2,87804E-05	0	0	1,06285E-05	4,09016E-05	3,06609E-05	0	0
0,2056	-1,084409	-3,06609E-05	0	0	8,04374E-06	4,01706E-05	3,24204E-05	0	0
0,206	-1,146637	-3,24204E-05	0	0	5,42715E-06	3,9281E-05	3,40519E-05	0	0
0,2064	-1,20434	-3,40519E-05	0	0	2,78915E-06	3,82364E-05	3,5549E-05	0	0
0,2068	-1,25729	-3,5549E-05	0	0	1,40156E-07	3,70409E-05	3,69059E-05	0	0
0,2072	-1,305279	-3,69059E-05	0	0	0	3,56993E-05	3,81171E-05	2,5094E-06	0
0,2076	-1,348116	-3,81171E-05	0	0	0	3,42167E-05	3,91778E-05	5,14904E-06	0
0,208	-1,385632	-3,91778E-05	0	0	0	3,25991E-05	4,0084E-05	7,76837E-06	0
0,2084	-1,41768	-4,0084E-05	0	0	0	3,08528E-05	4,08319E-05	1,03571E-05	0
0,2088	-1,444133	-4,08319E-05	0	0	0	2,89848E-05	4,14187E-05	1,29049E-05	0
0,2092	-1,464887	-4,14187E-05	0	0	0	2,70024E-05	4,18421E-05	1,54017E-05	0
0,2096	-1,47986	-4,18421E-05	0	0	0	2,49134E-05	4,21003E-05	1,78378E-05	0
0,21	-1,488992	-4,21003E-05	0	0	0	2,27261E-05	4,21923E-05	2,02035E-05	0
0,2104	-1,492248	-4,21923E-05	0	0	0	2,04491E-05	4,21178E-05	2,24894E-05	0
0,2108	-1,489614	-4,21178E-05	0	0	0	1,80914E-05	4,18772E-05	2,46866E-05	0
0,2112	-1,481102	-4,18772E-05	0	0	0	1,56623E-05	4,14712E-05	2,67864E-05	0
0,2116	-1,466745	-4,14712E-05	0	0	0	1,31714E-05	4,09016E-05	2,87804E-05	0
0,212	-1,446599	-4,09016E-05	0	0	0	1,06285E-05	4,01706E-05	3,06609E-05	0
0,2124	-1,420744	-4,01706E-05	0	0	0	8,04374E-06	3,9281E-05	3,24204E-05	0
0,2128	-1,389282	-3,9281E-05	0	0	0	5,42715E-06	3,82364E-05	3,40519E-05	0
0,2132	-1,352337	-3,82364E-05	0	0	0	2,78915E-06	3,70409E-05	3,5549E-05	0
0,2136	-1,310055	-3,70409E-05	0	0	0	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06
0,214	-1,262603	-3,56993E-05	0	0	0	0	3,42167E-05	3,81171E-05	5,14904E-06
0,2144	-1,210167	-3,42167E-05	0	0	0	0	3,25991E-05	3,91778E-05	7,76837E-06
0,2148	-1,152956	-3,25991E-05	0	0	0	0	3,08528E-05	4,0084E-05	1,03571E-05
0,2152	-1,091195	-3,08528E-05	0	0	0	0	2,89848E-05	4,08319E-05	1,29049E-05
0,2156	-1,025127	-2,89848E-05	0	0	0	0	2,70024E-05	4,14187E-05	1,54017E-05
