Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0,0352	1,091195	3,08528E-05	3,08528E-05	3,08528E-05	4,08319E-05	1,03571E-05	0	0	0
0,0356	1,025127	2,89848E-05	2,89848E-05	2,89848E-05	4,14187E-05	1,29049E-05	0	0	0
0,036	0,955014	2,70024E-05	2,70024E-05	2,70024E-05	4,18421E-05	1,54017E-05	0	0	0
0,0364	0,881131	2,49134E-05	2,49134E-05	2,49134E-05	4,21003E-05	1,78378E-05	0	0	0
0,0368	0,803772	2,27261E-05	2,27261E-05	2,27261E-05	4,21923E-05	2,02035E-05	0	0	0
0,0372	0,72324	2,04491E-05	2,04491E-05	2,04491E-05	4,21178E-05	2,24894E-05	0	0	0
0,0376	0,639853	1,80914E-05	1,80914E-05	1,80914E-05	4,18772E-05	2,46866E-05	0	0	0
0,038	0,553942	1,56623E-05	1,56623E-05	1,56623E-05	4,14712E-05	2,67864E-05	0	0	0
0,0384	0,465844	1,31714E-05	1,31714E-05	1,31714E-05	4,09016E-05	2,87804E-05	0	0	0
0,0388	0,375908	1,06285E-05	1,06285E-05	1,06285E-05	4,01706E-05	3,06609E-05	0	0	0
0,0392	0,284489	8,04374E-06	8,04374E-06	8,04374E-06	3,9281E-05	3,24204E-05	0	0	0
0,0396	0,191946	5,42715E-06	5,42715E-06	5,42715E-06	3,82364E-05	3,40519E-05	0	0	0
0,04	0,098646	2,78915E-06	2,78915E-06	2,78915E-06	3,70409E-05	3,5549E-05	0	0	0
0,0404	0,004957	1,40156E-07	1,40156E-07	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06	0	0
0,0408	-0,088752	-2,5094E-06	0	0	3,42167E-05	3,81171E-05	5,14904E-06	0	0
0,0412	-0,18211	-5,14904E-06	0	0	3,25991E-05	3,91778E-05	7,76837E-06	0	0
0,0416	-0,27475	-7,76837E-06	0	0	3,08528E-05	4,0084E-05	1,03571E-05	0	0
0,042	-0,366306	-1,03571E-05	0	0	2,89848E-05	4,08319E-05	1,29049E-05	0	0
0,0424	-0,456416	-1,29049E-05	0	0	2,70024E-05	4,14187E-05	1,54017E-05	0	0
0,0428	-0,544724	-1,54017E-05	0	0	2,49134E-05	4,18421E-05	1,78378E-05	0	0
0,0432	-0,630883	-1,78378E-05	0	0	2,27261E-05	4,21003E-05	2,02035E-05	0	0
0,0436	-0,714552	-2,02035E-05	0	0	2,04491E-05	4,21923E-05	2,24894E-05	0	0
0,044	-0,795401	-2,24894E-05	0	0	1,80914E-05	4,21178E-05	2,46866E-05	0	0
0,0444	-0,873111	-2,46866E-05	0	0	1,56623E-05	4,18772E-05	2,67864E-05	0	0
0,0448	-0,947375	-2,67864E-05	0	0	1,31714E-05	4,14712E-05	2,87804E-05	0	0
0,0452	-1,0179	-2,87804E-05	0	0	1,06285E-05	4,09016E-05	3,06609E-05	0	0
0,0456	-1,084409	-3,06609E-05	0	0	8,04374E-06	4,01706E-05	3,24204E-05	0	0
0,046	-1,146637	-3,24204E-05	0	0	5,42715E-06	3,9281E-05	3,40519E-05	0	0
0,0464	-1,20434	-3,40519E-05	0	0	2,78915E-06	3,82364E-05	3,5549E-05	0	0
0,0468	-1,25729	-3,5549E-05	0	0	1,40156E-07	3,70409E-05	3,69059E-05	0	0
0,0472	-1,305279	-3,69059E-05	0	0	0	3,56993E-05	3,81171E-05	2,5094E-06	0
0,0476	-1,348116	-3,81171E-05	0	0	0	3,42167E-05	3,91778E-05	5,14904E-06	0
0,048	-1,385632	-3,91778E-05	0	0	0	3,25991E-05	4,0084E-05	7,76837E-06	0
0,0484	-1,41768	-4,0084E-05	0	0	0	3,08528E-05	4,08319E-05	1,03571E-05	0
0,0488	-1,444133	-4,08319E-05	0	0	0	2,89848E-05	4,14187E-05	1,29049E-05	0
0,0492	-1,464887	-4,14187E-05	0	0	0	2,70024E-05	4,18421E-05	1,54017E-05	0
0,0496	-1,47986	-4,18421E-05	0	0	0	2,49134E-05	4,21003E-05	1,78378E-05	0
0,05	-1,488992	-4,21003E-05	0	0	0	2,27261E-05	4,21923E-05	2,02035E-05	0
0,0504	-1,492248	-4,21923E-05	0	0	0	2,04491E-05	4,21178E-05	2,24894E-05	0
0,0508	-1,489614	-4,21178E-05	0	0	0	1,80914E-05	4,18772E-05	2,46866E-05	0
0,0512	-1,481102	-4,18772E-05	0	0	0	1,56623E-05	4,14712E-05	2,67864E-05	0
0,0516	-1,466745	-4,14712E-05	0	0	0	1,31714E-05	4,09016E-05	2,87804E-05	0
0,052	-1,446599	-4,09016E-05	0	0	0	1,06285E-05	4,01706E-05	3,06609E-05	0
0,0524	-1,420744	-4,01706E-05	0	0	0	8,04374E-06	3,9281E-05	3,24204E-05	0
0,0528	-1,389282	-3,9281E-05	0	0	0	5,42715E-06	3,82364E-05	3,40519E-05	0
0,0532	-1,352337	-3,82364E-05	0	0	0	2,78915E-06	3,70409E-05	3,5549E-05	0
0,0536	-1,310055	-3,70409E-05	0	0	0	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06
0,054	-1,262603	-3,56993E-05	0	0	0	0	3,42167E-05	3,81171E-05	5,14904E-06
0,0544	-1,210167	-3,42167E-05	0	0	0	0	3,25991E-05	3,91778E-05	7,76837E-06
0,0548	-1,152956	-3,25991E-05	0	0	0	0	3,08528E-05	4,0084E-05	1,03571E-05
